a_id		w_id
a1347		w3447
a1347		w3448
a1347		w3449
a1347		w3450
a1347		w3451
a1347		w3452
a1347		w3453
a1347		w3454
a1347		w3455
a1347		w3458
a1347		w3459
a1347		w3460
a1347		w3461
a1347		w3462
a1347		w3463
a1347		w3464
a1347		w3465
a1347		w3466
a1347		w3467
a1347		w3468
a1347		w3471
a1347		w3472
a1347		w3473
a1347		w3474
a1347		w3475
a1347		w3476
a1347		w3477
a1347		w3478
a1347		w3479
a1349		w272
a1349		w292
a1349		w3042
a135		w3583
a1352		w2687
a1356		w2275
a1356		w2951
a1356		w2952
a1356		w2984
a1356		w2985
a1356		w2986
a1356		w3013
a1356		w3021
a1356		w3022
a1356		w3029
a1356		w3044
a1356		w3045
a1356		w3046
a1356		w3055
a1356		w3056
a1356		w3071
a1356		w3072
a1356		w3073
a1356		w3077
a1356		w3078
a1356		w3079
a1356		w3095
a1356		w3105
a1356		w3106
a1356		w3115
a1356		w3116
a1356		w3117
a1356		w3121
a1356		w3122
a1356		w3134
a1356		w3149
a1356		w3150
a1356		w3151
a1356		w3176
a1356		w3177
a1356		w3178
a1356		w3179
a1356		w3180
a1356		w3181
a1356		w3221
a1356		w3222
a1356		w3223
a1356		w3224
a1356		w3225
a1356		w3226
a1356		w3286
a1356		w3287
a1356		w3288
a1356		w3289
a1356		w3290
a1356		w3335
a1356		w3336
a1356		w3337
a1356		w3438
a1358		w924
a136		w1361
a136		w1382
a136		w2310
a1361		w1803
a1361		w731
a1361		w941
a1364		w2938
a1364		w3101
a1364		w3285
a1385		w2137
a1385		w2252
a1385		w2341
a1385		w2472
a1389		w2017
a1389		w2315
a1389		w771
a1389		w838
a1389		w943
a1391		w2322
a1392		w700
a1392		w874
a1400		w2948
a1400		w2958
a1400		w2978
a1400		w2990
a1400		w3025
a1400		w3074
a1400		w3114
a1400		w3333
a1400		w3423
a1400		w3482
a1400		w3484
a1402		w921
a1408		w609
a1408		w613
a1408		w687
a1411		w2109
a1411		w2549
a1411		w789
a1412		w1377
a1414		w2513
a1416		w2517
a1416		w4586
a1419		w2322
a1419		w2701
a142		w1069
a142		w2294
a1427		w1429
a1427		w1509
a1427		w1558
a1427		w1559
a1427		w1578
a1427		w1610
a1427		w1614
a1427		w1630
a1428		w2687
a1432		w2362
a1432		w2550
a1433		w1362
a1433		w1437
a1433		w2602
a144		w1350
a144		w1359
a144		w1379
a144		w1539
a144		w2329
a144		w2487
a1449		w16
a1449		w57
a1454		w1466
a1459		w1404
a1463		w1466
a1466		w2701
a1470		w330
a1470		w84
a1480		w2363
a1491		w622
a1491		w793
a1496		w2017
a1496		w2315
a1496		w771
a1496		w838
a1496		w943
a1497		w2265
a151		w1718
a151		w1884
a1510		w2322
a1510		w2701
a1518		w842
a152		w2453
a152		w4543
a1520		w3512
a1520		w3536
a1523		w2888
a1523		w2950
a1526		w672
a153		w2007
a1530		w477
a1535		w1362
a1535		w1437
a1535		w2602
a154		w126
a154		w167
a154		w220
a1543		w701
a1567		w3028
a1574		w2607
a1577		w2322
a1577		w2701
a1578		w2063
a1578		w2167
a1589		w732
a159		w1780
a159		w1810
a1594		w108
a1594		w110
a1594		w147
a1594		w150
a1594		w234
a1594		w314
a1594		w317
a1594		w332
a1594		w340
a1594		w342
a1594		w344
a1594		w362
a1594		w365
a1594		w373
a1594		w396
a1594		w398
a1594		w417
a1594		w435
a1594		w451
a1594		w469
a1598		w2411
a1601		w1429
a1601		w1509
a1601		w1558
a1601		w1559
a1601		w1578
a1601		w1610
a1601		w1614
a1601		w1630
a1602		w1235
a1602		w1237
a1602		w1240
a1602		w1242
a1602		w1262
a1602		w1264
a1602		w1266
a1602		w1267
a1602		w1283
a1602		w1284
a1602		w1285
a1602		w1287
a1602		w1320
a1602		w1322
a1602		w1323
a1602		w1324
a1602		w1346
a1602		w1347
a1602		w730
a1602		w742
a1602		w750
a1602		w833
a1602		w843
a1606		w3926
a1615		w1706
a1615		w1724
a1615		w1785
a1615		w1788
a1615		w1795
a1617		w3359
a163		w1038
a163		w665
a163		w667
a163		w796
a164		w1992
a164		w1994
a164		w565
a164		w571
a164		w608
a1656		w3541
a1656		w3555
a1656		w3585
a1656		w3626
a1656		w3669
a1656		w3673
a1656		w3806
a1656		w3862
a1656		w3867
a1656		w3968
a1656		w4090
a1656		w4107
a1656		w4112
a1656		w4124
a1657		w2993
a1658		w178
a1659		w3334
a166		w1739
a166		w1750
a166		w1774
a1663		w1351
a1663		w2052
a1672		w1429
a1672		w1509
a1672		w1558
a1672		w1559
a1672		w1578
a1672		w1610
a1672		w1614
a1672		w1630
a1674		w2279
a1674		w2507
a1684		w1727
a1692		w1429
a1692		w1509
a1692		w1558
a1692		w1559
a1692		w1578
a1692		w1610
a1692		w1614
a1692		w1630
a17		w1715
a17		w1728
a17		w1737
a17		w1768
a17		w1795
a1703		w3736
a1703		w3922
a1704		w3873
a1704		w3951
a1704		w4158
a1704		w4168
a1704		w4174
a1712		w688
a1712		w774
a1712		w798
