_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
4390,a2142,w699,xps9350-2008slv,dell xps9350-2008slv 13.3 inch laptop (intel core i5 8 gb ram 128 gb ssd silver) microsoft signature image dell xps9350-2008slv windows 10,xps9350-5341slv,dell silver 13.3 xps 13 laptop pc with intel core i7-6560u processor 8gb memory touch screen 256gb solid state drive and windows 10 home dell xps9350-5341slv windows 10
4402,a2154,w2958,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 8gb ram 256gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,len-15-01217-p71me5,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 240gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me5 microsoft windows
4447,a2154,w3333,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 8gb ram 256gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,len-15-01217-p71me11,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 16gb ram 2tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me11 microsoft windows
4543,a2216,w1511,n855hj,prostar clevo gaming laptop n855hj 15.6 fhd (1920x1080) led matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj windows 10,n855hj,prostar clevo n855hj 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 16gb ddr4 gtx 1050 120gb ssd 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj microsoft windows 10
4578,a2216,w1583,n855hj,prostar clevo gaming laptop n855hj 15.6 fhd (1920x1080) led matte type display intel core i7-7700hq 8gb ddr4 gtx 1050 120gb ssd windows 10 home wi-fi+bluetooth 1-year warranty prostar n855hj windows 10,n850hp6,prostar clevo gaming laptop n850hp6 15.6” fhd ips (1920x1080) led matte type display intel core i7-7700hq 16gb ddr4 gtx 1060 512gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty prostar n850hp6 microsoft windows 10
4617,a2238,w714,,2018 hp 15.6 touchscreen laptop pc intel core i3-7100u 8gb ddr4 1tb hdd intel hd graphics 620 802.11ac bluetooth dvd rw usb 3.1 hdmi webcam windows 10 home jet black hp windows 10,,2018 newest premium hp 15.6? touchscreen hd laptop intel dual core i3-7100u processor 2.40ghz 8gb ddr4 ram 1tb hdd hdmi bluetooth webcam hd graphics 620 dvd-rw 8-hours battery win 10 hp windows 10
4641,a2252,w1392,p650hp6-g,prostar clevo p650hp6-g vr ready gaming 15.6 fhd 120hz 5ms matte display with g-sync intel core i7-7700hq 16gb ddr4 gtx 1060 256gb nvme ssd 1tb hdd windows 10 wi-fi+bluetooth 1-year warranty prostar p650hp6-g windows 10,n850hk1,prostar clevo n850hk1 15.6” full hd ips (1920x1080) matte display gaming laptop intel core i7-7700hq 8gb ddr4 gtx 1050ti 1tb hdd windows 10 home wi-fi+bluetooth 1-year warranty prostar n850hk1 microsoft?? windows 10 (64-bit)??
4727,a2261,w154,,msi ge63vr075 raider-075 vr ready premium 15.6 inch gaming and business laptop (intel i7 quad core 16gb ram 1tb hdd + 128gb ssd 15.6 fhd (1920x1080) display nvidia geforce gtx 1070 win 10 home) michaelelectronics2 windows 10,hp-15-02403-amd-me6,hp pavilion x360 convertible premium 15.6 yoga style 2-in-1 laptop pc (intel i5 processor 8gb ram 240gb ssd + 128gb ssd 15.6 inch fhd 1920x1080 touch display amd radeon 530 stylus win 10 home) michaelelectronics2 hp-15-02403-amd-me6 microsoft windows
4744,a2272,w2004,i3162-0000blu,dell inspiron 11.6 laptop intel celeron 2gb ram 32gb emmc flash memory bali blue i3162-0000blu dell i3162-0000blu windows 10,i3162-0003blu,dell - inspiron 11.6 laptop - intel celeron - 4gb memory - 32gb emmc flash memory - bali blue dell i3162-0003blu windows 10
4760,a2289,w2948,thinkpad p51,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel quad-core i7-7700hq 32gb ram 256gb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m1200m 4gb fingerprint reader lenovo thinkpad p51 windows 10 pro,len-15-01217-p71me4,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 8gb ram 240gb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me4 microsoft windows
