_id,ltable_id,rtable_id,ltable_model,ltable_combo,rtable_model,rtable_combo
3094,a1887,w1455,hp pavilion 15t power acid green nb,hp pavilion 15t gaming and business power laptop ( intel i7 quad core 32gb ram nvidia geforce 1050 2tb hdd + 512gb ssd 15.6 inch full hd (1920 x 1080) touch win 10 pro)-black with acid green hp hp pavilion 15t power acid green nb windows 10 pro,hp pavilion 15t,2016 newest hp pavilion 15t gaming laptop with 15.6' fhd touchscreen ( intel i5 processor 16gb ram 240gb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) hp hp pavilion 15t microsoft windows
3162,a1891,w3389,thinkpad p50,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 16gb ram 512gb ssd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi lenovo thinkpad p50 windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 7
3200,a1919,w3083,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 256gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 8
3220,a1919,w3129,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 8gb ram 256gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 7
3259,a1919,w3202,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,lenovo thinkpad t460s touch performance windows 10 pro laptop - intel core i7-6600u 12gb ram 512gb ssd 14 ips fhd (1920x1080) matte touchscreen fingerprint reader smart card reader ac wifi lenovo windows 10
3274,a1919,w3232,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 12gb ram 256gb ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader ac wifi lenovo windows 10
3324,a1919,w3315,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 20gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 7
3345,a1919,w3367,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 8.1 pro laptop - intel core i7-6600u 12gb ram 512gb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 8
3347,a1919,w3369,,lenovo thinkpad t470s windows 10 pro laptop - intel core i7-7500u 16gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader black color lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 512gb pcie-nvme ssd 14 ips wqhd (2560x1440) matte display fingerprint reader smart card reader lenovo windows 10
3430,a1932,w2707,nx.shwaa.003;sf114-31-p5ww,acer nx.shwaa.003;sf114-31-p5ww 14 traditional laptop acer nx.shwaa.003;sf114-31-p5ww windows 10,nx.shwaa.003,refurbished acer 14 intel pentium 1.6 ghz 4gb ram 128gb flash windows 10 home|sf114-31-p5ww acer nx.shwaa.003 windows 10
3433,a1941,w208,i7359-1145slv,dell inspiron i7359-1145slv 13.3 inch 2-in-1 touchscreen laptop (6th generation intel core i3 4 gb ram 500 gb hdd) dell i7359-1145slv windows 10,i7359-8404slv,dell inspiron 13-7359 i7359-8404slv 2-in-1 notebook pc - intel (refurbished) dell i7359-8404slv windows 10 home 64-bit edition
3502,a1990,w1928,nx.gsuaa.001,acer aspire 5 a517-51-33q4 17.3 lcd notebook - intel core i3 (6th gen) i3-6006u dual-core (2 core) 2 ghz - 8 gb ddr4 sdram - 1 nx.gsuaa.001 unknown,nx.gukaa.001,acer chromebook 11 c732-c6wu 11.6 lcd chromebook - intel celeron n3350 dual-core [2 core] 1.10 ghz - 4 gb lpddr4 - 32 gb flash memory - chrome os - 1366 x 768 - comfyview - obsidian (nx-gukaa-001) acer nx.gukaa.001 chrome os
3511,a1990,w2291,nx.gsuaa.001,acer aspire 5 a517-51-33q4 17.3 lcd notebook - intel core i3 (6th gen) i3-6006u dual-core (2 core) 2 ghz - 8 gb ddr4 sdram - 1 nx.gsuaa.001 unknown,nx.gswaa.001,acer aspire a517-51 a517-51-568y 17.3 core i5 i5-8250u 8gb ddr4 1tb hdd - windows 10 home obsidian black notebook acer nx.gswaa.001 windows 10
3513,a1990,w2382,nx.gsuaa.001,acer aspire 5 a517-51-33q4 17.3 lcd notebook - intel core i3 (6th gen) i3-6006u dual-core (2 core) 2 ghz - 8 gb ddr4 sdram - 1 nx.gsuaa.001 unknown,nx.gntaa.001,acer aspire 3 notebook with intel celeron n3350 4gb 500gb hdd acer nx.gntaa.001 windows 10
3514,a1990,w2431,nx.gsuaa.001,acer aspire 5 a517-51-33q4 17.3 lcd notebook - intel core i3 (6th gen) i3-6006u dual-core (2 core) 2 ghz - 8 gb ddr4 sdram - 1 nx.gsuaa.001 unknown,nx.gjzaa.001,acer aspire f 15 f5-573-55w1 - 15.6 - core i5 7200u - 8 gb ram - 1 tb hdd - us international acer nx.gjzaa.001 windows 10
3624,a1995,w3275,,lenovo thinkpad t470s windows 7 pro laptop - intel core i5-6300u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 7 professional,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 7
3631,a1995,w3282,,lenovo thinkpad t470s windows 7 pro laptop - intel core i5-6300u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 7 professional,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10
3666,a1995,w3387,,lenovo thinkpad t470s windows 7 pro laptop - intel core i5-6300u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 7 professional,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader lenovo windows 10
3672,a1995,w3411,,lenovo thinkpad t470s windows 7 pro laptop - intel core i5-6300u 20gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader black color lenovo windows 7 professional,,pcie lenovo thinkpad t460s business windows 7 pro laptop - intel core i7-6600u 20gb ram 1tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 7
3734,a1997,w3090,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 8.1 pro laptop - intel core i7-6600u 12gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader smart card reader ac wifi lenovo windows 8
3758,a1997,w3141,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10 pro,,lenovo thinkpad t460s business performance windows 7 pro laptop - intel core i7-6600u 8gb ram 512gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 7
3878,a1997,w3321,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 20gb ram 512gb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 10
3971,a1997,w3466,,lenovo thinkpad t460s business performance windows 10 pro laptop - intel core i7-6600u 8gb ram 256gb ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard ac wifi lenovo windows 10 pro,,pcie lenovo thinkpad t460s business windows 10 pro laptop - intel core i7-6600u 12gb ram 2tb pcie-nvme ssd 14 ips fhd (1920x1080) matte display fingerprint reader backlit keyboard lenovo windows 10
3999,a2011,w732,np940x5j-k02us,samsung ativ book 9 2014 edition 15.6-inch touchscreen laptop (intel core i7 mineral ash black) samsung np940x5j-k02us windows 8,np940x3l-k01us,samsung ativ book 9 spin 940x3l - flip design - core i7 6500u / 2.5 ghz - windows 10 home - 8 gb ram - 256 gb ssd - 13.3 touchscreen 3200 x 1800 (qhd+) - hd graphics 520 - wi-fi bluetooth - pure black samsung np940x3l-k01us microsoft windows windows 10
4012,a2014,w736,80ys0000us,lenovo notebook 80ys0000us ideapad n23 11.6 inch n3060 2gb 16gb chrome chrome op lenovo 80ys0000us unknown,80ys000cus,lenovo n23 chromebook - 11.6 - celeron n3060 - 4 gb ram - 16 gb ssd lenovo 80ys000cus chrome os
4207,a2081,w3423,thinkpad p51,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel quad-core i7-7700hq 16gb ram 512gb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m1200m 4gb fingerprint reader lenovo thinkpad p51 windows 10 pro,len-15-01217-p71me12,lenovo thinkpad p51s 15.6'' premium mobile workstation ultrabook laptop (intel i7 processor 32gb ram 2tb ssd 15.6 inch fhd 1920x1080 ips display nvidia quadro m520m fingerprint win 10 pro) michaelelectronics2 len-15-01217-p71me12 microsoft windows
4264,a2104,w3029,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 512gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 7 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 8.1 pro - intel core i7-6600u 512gb ssd 16gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 8
4298,a2104,w3224,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 7 pro - intel core i5-6200u 512gb ssd 8gb ram 14 fhd ips (1920x1080) display fingerprint reader intel hd graphics 520 lenovo windows 7 pro,,lenovo thinkpad x1 carbon 4 business ultrabook - windows 10 pro - intel core i7-6600u 256gb nvme-pcie ssd 16gb ram 14 wqhd ips (2560x1440) display fingerprint reader intel hd graphics 520 lenovo windows 10
4326,a2115,w2599,thinkpad 11e,lenovo thinkpad 11e 11.6 ultraportable business notebook intel n2940 quad-core 128gb solid state drive 4gb ddr3 802.11ac bluetooth win10pro lenovo thinkpad 11e windows 10,thinkpad,refurbished lenovo thinkpad t430 i5 2.6ghz 8gb 240ssd dvd windows 10 pro 64 laptop cam lenovo thinkpad 
4341,a2117,w1630,hp pavilion,2018 flagship hp pavilion 15.6 fhd ips gaming business laptop intel quad-core i7-8550u 32gb ddr4 256gb ssd +1tb hdd 4gb nvidia geforce 940mx dvdrw backlit keyboard b&o play wlan usb type-c win 10 hp hp pavilion windows 10 home 64-bit,hp pavilion gaming 15t t9y85av,hp pavilion 15t gaming laptop with full hd touchscreen ( intel i7 quad core 32gb nvidia geforce 960m 2tb hdd + 1tb ssd 15.6 inch fhd (1920 x 1080) touchscreen windows 10) t9y85av hp hp pavilion gaming 15t t9y85av 
