id,product title,brand,model,operating system,combo
a2665,acer travel mate nx.vdfaa.008;tmx349-m-5375 14 traditional laptop,acer,nx.vdfaa.008;tmx349-m-5375,windows 7 professional,acer travel mate nx.vdfaa.008;tmx349-m-5375 14 traditional laptop windows professional
a2666,hp high performance 17.3 inch hd+ laptop pc amd a9-9420 dual-core 4gb ddr4 1tb hdd dvdrw bluetooth 4.2 wifi windows 10 (black),hp,fba_889899930083,windows 10,hp high performance 17.3 inch hd+ laptop pc amd a9-9420 dual-core 4gb ddr4 1tb hdd dvdrw bluetooth 4.2 wifi windows 10 (black) fba_889899930083
a2667,lenovo lavie z 360 - core i7-5500u 8gb ram 256gb ssd 13.3in wqhd touch display 20ff0022us ( model),lenovo,fba_20ff0022us,windows 10,lenovo lavie z 360 - core i7-5500u 8gb ram 256gb ssd 13.3in wqhd touch display 20ff0022us ( model) fba_20ff0022us windows 10
a2668,2016 model dell inspiron 2-in-1 13.3 full hd touch screen 1920 x 1080 laptop intel core i5-6200u 2.3ghz 8gb ram 256gb ssd wifi-ac bluetooth hdmi webcam windows 10,dell,inspiron 13 2-in1,windows 10,2016 model dell inspiron 2-in-1 13.3 full hd touch screen 1920 x 1080 laptop intel core i5-6200u 2.3ghz 8gb ram 256gb ssd wifi-ac bluetooth hdmi webcam windows 10 2-in1
a2669,2018 flagship hp pavilion 15.6 inch touschreen fhd ips laptop computer (intel core i7-8550u 1.8ghz 12gb ddr4 ram 128gb ssd + 1tb hdd backlit keyboard intel graphic hd webcam windows 10),hp,hp,windows 10,2018 flagship hp pavilion 15.6 inch touschreen fhd ips laptop computer (intel core i7-8550u 1.8ghz 12gb ddr4 ram 128gb ssd + 1tb hdd backlit keyboard intel graphic hd webcam windows 10) 
a2670,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel xeon e3-1505m 32gb ecc ram 1tb ssd 15.6 uhd 4k 3840x2160 display nvidia quadro m2200m 4gb gpu secure smart card reader,lenovo,thinkpad p51,windows 10 pro,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel xeon e3-1505m 32gb ecc ram 1tb ssd 15.6 uhd 4k 3840x2160 display nvidia quadro m2200m 4gb gpu secure smart card reader thinkpad
a2671,lenovo thinkpad t570 premium business computer pc with 15.6 inch full hd touchscreen (intel i7 processor 15.6 fhd 1920x1080 touch 16gb ram 1tb pcie ssd fingerprint backlit keyboard win 10 pro),michaelelectronics2,,windows 10,lenovo thinkpad t570 premium business computer pc with 15.6 inch full hd touchscreen (intel i7 processor 15.6 fhd 1920x1080 touch 16gb ram 1tb pcie ssd fingerprint backlit keyboard win 10 pro) michaelelectronics2 windows
a2672,2017 acer aspire r 2-in-1 15.6” fhd ips touchscreen laptop intel core i7-7500u 12gb ddr4 ram 1tb hdd nvidia geforce 940mx 2gb backlit keyboard hdmi bluetooth 802.11ac win10- aluminum chassis,acer,acer aspire r5 2 in 1,windows 10,2017 acer aspire r 2-in-1 15.6” fhd ips touchscreen laptop intel core i7-7500u 12gb ddr4 ram 1tb hdd nvidia geforce 940mx 2gb backlit keyboard hdmi bluetooth 802.11ac win10- aluminum chassis r5 windows
a2673,dell inspiron 11 i3137-3751slv 11.6-inch touchscreen laptop [discontinued by manufacturer],dell,i3137-3751slv,windows 8,dell inspiron 11 i3137-3751slv 11.6-inch touchscreen laptop [discontinued by manufacturer] windows 8
a2674,15.6 a49120 8g 1tb win10,acer,nx.gnvaa.010,unknown,15.6 a49120 8g 1tb win10 acer nx.gnvaa.010 unknown
a2675,lenovo ideapad 320 17.3 hd+ notebook intel core i7-7500u upto 3.5ghz 20gb ddr4 256gb ssd dvd-rw wifi bluetooth fingerprint reader usb-c windows 10 home,cravings,,windows 10,lenovo ideapad 320 17.3 hd+ notebook intel core i7-7500u upto 3.5ghz 20gb ddr4 256gb ssd dvd-rw wifi bluetooth fingerprint reader usb-c windows 10 home cravings
a2676,2018 premium hp 17.3 full hd ips business gaming laptop - intel dual-core i7-7500u up to 3.5ghz 16gb ddr4 1tb hdd dvd burner 4gb amd radeon 530 wlan bluetooth webcam backlit keyboard win 10,hp,,windows 10,2018 premium hp 17.3 full hd ips business gaming laptop - intel dual-core i7-7500u up to 3.5ghz 16gb ddr4 1tb hdd dvd burner 4gb amd radeon 530 wlan bluetooth webcam backlit keyboard win 10 windows
a2677,dell inspiron 15-3567 intel core i3-7100u x2 2.4ghz 6gb 1tb 15.6 win10 black,dell,,windows 10,dell inspiron 15-3567 intel core i3-7100u x2 2.4ghz 6gb 1tb 15.6 win10 black windows
a2678,asus vivobook v400ca-db31t 14-inch touchscreen laptop (intel core i3 2365m 1.4 ghz processor 4gb memory 500gb hdd windows 8 64-bit),asus,v400ca-db31t,windows 8;,asus vivobook v400ca-db31t 14-inch touchscreen laptop (intel core i3 2365m 1.4 ghz processor 4gb memory 500gb hdd windows 8 64-bit) asus 8;
a2679,msi gf62 7re-2025 bundle!- upgraded: 128gb ssd | 15.6 fhd edp 94% screen | intel i7-7700hq | nvidia gtx 1050 ti | 16gb ram | 1tb hdd | windows 10 | rgb backlit keyboard,xotic pc,msi gf62 7re-2025,windows 10,msi gf62 7re-2025 bundle!- upgraded: 128gb ssd | 15.6 fhd edp 94% screen | intel i7-7700hq | nvidia gtx 1050 ti | 16gb ram | 1tb hdd | windows 10 | rgb backlit keyboard xotic pc
a2680,asus rog gl753ve gaming 17.3 full hd laptop - 7th gen i7-7700hq processor up to 3.80 ghz 16gb memory 1tb ssd + 2tb hdd 4gb nvidia geforce gtx 1050ti graphics windows 10 metalic black,asus,gl753ve,windows 10 home,asus rog gl753ve gaming 17.3 full hd laptop - 7th gen i7-7700hq processor up to 3.80 ghz 16gb memory 1tb ssd + 2tb hdd 4gb nvidia geforce gtx 1050ti graphics windows 10 metalic black asus home
a2681,dell inspiron i5559-7081slv 15.6 inch touchscreen laptop (intel core i7 8 gb ram 1 tb hdd silver matte) intel real sense and microsoft signature image,dell,i5559-7081slv,windows 10,dell inspiron i5559-7081slv 15.6 inch touchscreen laptop (intel core i7 8 gb ram 1 tb hdd silver matte) intel real sense and microsoft signature image windows 10
a2682,msi gt73vr titan-427 select edition (i7-7820hk 16gb ram 240gb nvme ssd + 1tb hdd nvidia gtx 1070 8gb 17.3 full hd 120hz windows 10) vr ready gaming laptop,excaliberpc,gt73vr titan-427,microsoft windows 10,msi gt73vr titan-427 select edition (i7-7820hk 16gb ram 240gb nvme ssd + 1tb hdd nvidia gtx 1070 8gb 17.3 full hd 120hz windows 10) vr ready gaming laptop excaliberpc microsoft
a2683,dell inspiron i7559-7000 | 15.6 fhd | i7-6700hq | 16gb ram | 1tb +8gb ssd| nvidia gtx960m| windows 10 64-bit,dell,,windows 10,dell inspiron i7559-7000 | 15.6 fhd | i7-6700hq | 16gb ram | 1tb +8gb ssd| nvidia gtx960m| windows 10 64-bit 
a2684,newest dell inspiron 15.6 fhd gaming laptop | intel i5-7300hq quad-core | nvidia geforce gtx 1050 | 16gb ram | 1tb and 8gb hybrid hard drive | windows mixed reality ultra ready | windows 10,dell,,windows 10,newest dell inspiron 15.6 fhd gaming laptop | intel i5-7300hq quad-core | nvidia geforce gtx 1050 | 16gb ram | 1tb and 8gb hybrid hard drive | windows mixed reality ultra ready | windows 10 
a2685,acer 11.6 chromebook 2gb 16gb | cb3-111-c4ht,acer,cb3-111-c4ht,,acer 11.6 chromebook 2gb 16gb | cb3-111-c4ht 
a2686,lenovo flex 3 1130 2-in-1 80ly0010us - 11.6 hd touch - celeron n3060 - 2gb - 64gb ssd,,i7347-7550s,windows 10,lenovo flex 3 1130 2-in-1 80ly0010us - 11.6 hd touch - celeron n3060 - 2gb - 64gb ssd i7347-7550s windows
a2687,lenovo 11e 20eds00100 11.6 thinkpad led chromebook (amd a-series a4-6210 1.80 ghz),lenovo,20eds00100,microsoft windows 7 professional,lenovo 11e 20eds00100 11.6 thinkpad led chromebook (amd a-series a4-6210 1.80 ghz) microsoft windows 7 professional
a2688,dell wt5-0022 latitude e7440 ultrabook i7-4600u 2.1 ghz 256gb integrated hd graphics windows 10 pro black/dark gray 14.1 (certified refurbished),dell,wt5-0022,windows 10 professional,dell wt5-0022 latitude e7440 ultrabook i7-4600u 2.1 ghz 256gb integrated hd graphics windows 10 pro black/dark gray 14.1 (certified refurbished) professional
a2689,2016 hp 15.6 touchscreen premium high performance laptop amd a10-9600p quad-core 2.4ghz 6gb ram 1tb hdd dvd+/-rw webcam wifi hdmi radeon r5 graphics windows 10,hp,hp-15touch-laptop,windows 10,2016 hp 15.6 touchscreen premium high performance laptop amd a10-9600p quad-core 2.4ghz 6gb ram 1tb hdd dvd+/-rw webcam wifi hdmi radeon r5 graphics windows 10 hp-15touch-laptop
a2690,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 64gb ram 500gb hdd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi,lenovo,thinkpad p50,windows 10 pro,lenovo thinkpad p50 mobile workstation laptop - windows 10 pro - intel i7-6700hq 64gb ram 500gb hdd 15.6 fhd ips (1920x1080) display nvidia quadro m1000m fingerprint reader ac wi-fi thinkpad
a2691,hp probook 450 g5 notebook pc (2ta31ut#aba) intel i7-8550u 8gb ram 256gb ssd win10 pro64,hp,2ta31ut,windows 10,hp probook 450 g5 notebook pc (2ta31ut#aba) intel i7-8550u 8gb ram 256gb ssd win10 pro64 windows
a2692,asus 90nb0b35-m11750 15.6 n3050 4gb 500gb w10,,90nb0b35-m11750,unknown,asus 90nb0b35-m11750 15.6 n3050 4gb 500gb w10 unknown
a2693,dell inspiron 11.6 touchscreen 2 in 1 laptop pc intel celeron n3060 dual-core processor up to 2.48 ghz 4g memory 32g hard drive wifi usb 3.0 bluetooth windows 10 blue,dell,7.43e+12,windows 10,dell inspiron 11.6 touchscreen 2 in 1 laptop pc intel celeron n3060 dual-core processor up to 2.48 ghz 4g memory 32g hard drive wifi usb 3.0 bluetooth windows 10 blue 7.43e+12
a2694,hp elitebook 725 g4 12.5 notebook windows amd a10 1.8 ghz 4 gb ram 500 gb hdd amd radeon r5 silver (1gf01ut#aba),hp,1gf01ut#aba,windows 7 professional,hp elitebook 725 g4 12.5 notebook windows amd a10 1.8 ghz 4 gb ram 500 gb hdd amd radeon r5 silver (1gf01ut#aba) professional
a2695,sturdy panasonic cf-31 toughbook laptop - intel core i5-2540m 2.6ghz - new 256gb ssd - 16gb ddr3 ram - 13.1 touchscreen - win 7 pro + ms office - wifi,quality refurbished computers,cf31i526ghz16gb256ssdtouchnew,windows 7 professional,sturdy panasonic cf-31 toughbook laptop - intel core i5-2540m 2.6ghz - new 256gb ssd - 16gb ddr3 ram - 13.1 touchscreen - win 7 pro + ms office - wifi quality refurbished computers cf31i526ghz16gb256ssdtouchnew windows professional
a2696,lenovo 81c9000jus flex 5 1470 2-in-1 notebook with intel i7-8550u 8gb 512gb ssd 14,lenovo,81c9000jus,windows 10,lenovo 81c9000jus flex 5 1470 2-in-1 notebook with intel i7-8550u 8gb 512gb ssd 14 windows 10
a2697,acer aspire s7-392-6807 13.3-inch wqhd touchscreen ultrabook (crystal white),acer,s7-392-6807,windows 8,acer aspire s7-392-6807 13.3-inch wqhd touchscreen ultrabook (crystal white) windows
a2698,thinkcentre m710s intel core i7-6700 (3.40ghz 8mb) windows 7 professional 64,lenovo,10m7003qus,unknown,thinkcentre m710s intel core i7-6700 (3.40ghz 8mb) windows 7 professional 64 lenovo 10m7003qus unknown
a2699,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel xeon e3-1535m 64gb ram 1tb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m2200m 4gb gpu smart card reader,lenovo,thinkpad p51,windows 10 pro,lenovo thinkpad p51 mobile workstation laptop - windows 10 pro - intel xeon e3-1535m 64gb ram 1tb ssd 15.6 fhd ips 1920x1080 display nvidia quadro m2200m 4gb gpu smart card reader thinkpad
a2700,dell inspiron 7000 13.3-inch touchscreen laptop (intel core i7 8gb 256gb ssd no dvd backlit keyboard stylus bluetooth windows 10) - silver,dell,inspiron-7000,windows 10 home 64-bit,dell inspiron 7000 13.3-inch touchscreen laptop (intel core i7 8gb 256gb ssd no dvd backlit keyboard stylus bluetooth windows 10) - silver inspiron-7000 home 64-bit
a2701,lenovo n22 winbook 80s6001uus 11.6 netbook - intel celeron n3060 dual-core [2 core] 1.60 ghz - 4 gb ddr3l sdram - 32 gb flash me,,80s6001uus,unknown,lenovo n22 winbook 80s6001uus 11.6 netbook - intel celeron n3060 dual-core [2 core] 1.60 ghz - 4 gb ddr3l sdram - 32 gb flash me unknown
a2702,newest dell inspiron i5547 15.6 touchscreen high performance laptop intel core i5-4210u processor 8gb ram 1tb hdd backlit keyboard webcam wifi hdmi bluetooth windows 8.1 windows 10,dell,inspiron 15,windows 8.1,newest dell inspiron i5547 15.6 touchscreen high performance laptop intel core i5-4210u processor 8gb ram 1tb hdd backlit keyboard webcam wifi hdmi bluetooth windows 8.1 windows 10 
a2703,acer 15.6 led backlit display 1920x1080 chromebook (2018 newest) intel celeron processor 3205u 1.5 ghz 4gb ram 16gb ssd 802.11ac bluetooth hdmi hd webcam media reader chrome os,acer-15.6-chromebook-4gb-16gb ssd,acer-15.6-chromebook-4gb-16gb ssd,chrome os,acer 15.6 led backlit display 1920x1080 chromebook (2018 newest) intel celeron processor 3205u 1.5 ghz 4gb ram 16gb ssd 802.11ac bluetooth hdmi hd webcam media reader chrome os acer-15.6-chromebook-4gb-16gb acer-15.6-chromebook-4gb-16gb
a2704,lenovo thinkpad p51 mobile workstation - windows 10 pro - intel quad-core i7-7700hq 32gb ram 512gb ssd + 1tb hdd 15.6 uhd ips 3840x2160 display nvidia quadro m1200m 4gb secure smart card reader,lenovo,20df00cusp,windows 10 pro,lenovo thinkpad p51 mobile workstation - windows 10 pro - intel quad-core i7-7700hq 32gb ram 512gb ssd + 1tb hdd 15.6 uhd ips 3840x2160 display nvidia quadro m1200m 4gb secure smart card reader 20df00cusp
a2705,msi gl62m 7rd-1407 intel i5-7300hq 2.5 ghz (3.1 ghz boost) 8gb 256gb ssd nvidia geforce gtx1050 15.6 lcd win 10 gaming computer notebook laptop home bundle kit (gl62m1407),circuit city,circuitcity120189,windows 10 home,msi gl62m 7rd-1407 intel i5-7300hq 2.5 ghz (3.1 ghz boost) 8gb 256gb ssd nvidia geforce gtx1050 15.6 lcd win 10 gaming computer notebook laptop home bundle kit (gl62m1407) circuit city circuitcity120189 windows
a2706,dell v4jhf latitude 7480 laptop 14 fhd intel core i7-7600u 8gb ddr4 256gb solid state drive windows 10 pro,dell,v4jhf,windows 10 pro,dell v4jhf latitude 7480 laptop 14 fhd intel core i7-7600u 8gb ddr4 256gb solid state drive windows 10 pro 
a2707,2016 top-of-the-line 4th gen lenovo thinkpad x1 carbon 14 wqhd business laptop - intel core i7-6600u up to 3.4ghz 16gb ram 512gb ssd fingerprint reader wlan bluetooth windows 7/10 pro,lenovo,4th x1 carbon,windows 7 professional 64-bit windows 10 professional,2016 top-of-the-line 4th gen lenovo thinkpad x1 carbon 14 wqhd business laptop - intel core i7-6600u up to 3.4ghz 16gb ram 512gb ssd fingerprint reader wlan bluetooth windows 7/10 pro professional 64-bit professional
a2708,panasonic toughbook cf-53 14 notebook laptop - intel core i5-4310u 2.0 ghz 16gb memory 1tb ssd windows 10 pro,panasonic,,windows 10 pro,panasonic toughbook cf-53 14 notebook laptop - intel core i5-4310u 2.0 ghz 16gb memory 1tb ssd windows 10 pro 
a2709,dell inspiron 15.6? 1366x768 led-backlit laptop (2018 newest) 7th gen amd fx-9800p quad core 2.7ghz radeon r7 4gb graphics 8gb ram 1tb hdd 802.11ac bluetooth hdmi webcam media reader win10,dell,dell-15.6-quad core-8gb-1tb-purple,windows 10,dell inspiron 15.6? 1366x768 led-backlit laptop (2018 newest) 7th gen amd fx-9800p quad core 2.7ghz radeon r7 4gb graphics 8gb ram 1tb hdd 802.11ac bluetooth hdmi webcam media reader win10 dell-15.6-quad core-8gb-1tb-purple windows
a2710,dell v552g latitude 5580 laptop 15.6 hd intel core i5-7300u 4gb ddr4 500gb hard drive windows 10 pro,dell,v552g,windows 10 pro,dell v552g latitude 5580 laptop 15.6 hd intel core i5-7300u 4gb ddr4 500gb hard drive windows 10 pro 
a2711,lenovo ideapad 110 series 15.6 hd laptop intel pentium 4405u 2.10 ghz 4gb ddr4 500gb hdd dvd-rw 802.11ac bluetooth 4.1 hdmi win 10 - black,lenovo,lenovo ideapad 110,windows 10,lenovo ideapad 110 series 15.6 hd laptop intel pentium 4405u 2.10 ghz 4gb ddr4 500gb hdd dvd-rw 802.11ac bluetooth 4.1 hdmi win 10 - black windows
a2712,dell xps 13 9360 with intel core i7-8550u 8th generation 16gb 512gb pcie ssd 13.3'' qhd+ touch-screen 60whr battery | silver laptop,xps 13,xps9360-7197slv-pus,windows 10,dell xps 13 9360 with intel core i7-8550u 8th generation 16gb 512gb pcie ssd 13.3'' qhd+ touch-screen 60whr battery | silver laptop xps9360-7197slv-pus windows 10
a2713,lenovo legion y520 15.6 gaming laptop (7th generation intel i7 1tb hdd 8gb ddr4 windows 10 nvidia geforce gtx 1050 ti) 80wk001jus,lenovo,80wk001jus,unknown,lenovo legion y520 15.6 gaming laptop (7th generation intel i7 1tb hdd 8gb ddr4 windows 10 nvidia geforce gtx 1050 ti) 80wk001jus unknown
a2714,hp 2lv77ut#aba zbook 14u g4 workstation 14 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd space silver,hp,2lv77ut#aba,windows 10 pro,hp 2lv77ut#aba zbook 14u g4 workstation 14 notebook windows intel core i5 2.5 ghz 8 gb ram 256 gb ssd space silver 10 pro
